Brand,User Rating,Value%,Avg Bench %,Memory Points,8-Core Points,Market Share %,Avg Months
Intel,,"12098th
","122117 - 12899th
",83.985th,145498th,"0.6397th
",1796th
Intel,,"12098th
","9892 - 10594th
",81.678th,97492nd,"1.63100th
",2693rd
Intel,,"126100th
","94.190 - 9992nd
",83.885th,78886th,"0.3994th
",2693rd
Intel,,"12499th
","109100 - 11797th
",8074th,122396th,"0.8598th
",2892nd
Intel,,"10888th
","129123 - 135100th
",85.188th,1739100th,"0.8399th
",1796th
Intel,,"11695th
","126120 - 13199th
",84.787th,167699th,"1.0799th
",1796th
Intel,,"12399th
","122117 - 12799th
",84.286th,144398th,"0.6797th
",17+95th
Intel,,"11694th
","98.291 - 10694th
",80.775th,97392nd,"0.4394th
",2693rd
Intel,,"10584th
","10186 - 11095th
",8895th,107595th,"0.6397th
",3690th
Intel,,"10888th
","93.282 - 10392nd
",9199th,68884th,"1.1799th
",6578th
Intel,,"97.176th
","96.982 - 10593rd
",90.998th,96492nd,"1.78100th
",6578th
Intel,,"12199th
","9492 - 9892nd
",83.484th,79086th,"0.1185th
",2693rd
Intel,,"11896th
","106102 - 11096th
",83.684th,114196th,"0.7490th
",1496th
Intel,,"12299th
","94.288 - 10192nd
",87.293rd,85588th,"0.9198th
",3690th
Intel,,"11896th
","80.469 - 8784th
",87.795th,58879th,"0.2594th
",4188th
Intel,,"10080th
","96.586 - 10493rd
",91.199th,96992nd,"0.999th
",4685th
Intel,,"10887th
","79.965 - 8684th
",85.389th,59680th,"0.1987th
",4685th
Intel,,"11493rd
","94.289 - 10192nd
",86.191st,85288th,"0.394th
",3591st
Intel,,"11090th
","99.391 - 10895th
",88.496th,94591st,"0.3693rd
",3591st
Intel,,"12198th
","114102 - 12398th
",81.778th,140798th,"1.1699th
",2892nd
Intel,,"11997th
","124119 - 12999th
",82.381st,150698th,"0.2591st
",599th
Intel,,"11292nd
","85.275 - 9288th
",89.698th,71584th,"1.59100th
",4685th
Intel,,"10888th
","92.281 - 10091st
",90.598th,82587th,"0.3796th
",4685th
Intel,,"
","78.967 - 8783rd
",88.195th,56078th,"0.8498th
",11751st
Intel,,"11594th
","91.981 - 10091st
",90.798th,81887th,"0.2190th
",44+87th
Intel,,"12198th
","9690 - 10193rd
",83.283rd,82888th,"0.0781st
",1496th
Intel,,"12098th
","130125 - 134100th
",86.893rd,1739100th,"0.8298th
",599th
Intel,,"11090th
","84.872 - 9187th
",87.895th,58979th,"1.58100th
",6180th
Intel,,"85.360th
","97.989 - 10494th
",93.1100th,98192nd,"1.38100th
",6578th
Intel,,"10382nd
","84.569 - 9187th
",86.692nd,72285th,"0.6197th
",4685th
Intel,,"10483rd
","80.172 - 8684th
",8895th,42371st,"0.3194th
",5980th
Intel,,"11795th
","113108 - 11698th
",84.988th,128397th,"0.1789th
",1496th
Intel,,"86.762nd
","84.271 - 9287th
",89.698th,64782nd,"1.2174th
",8669th
Intel,,"11393rd
","117107 - 12498th
",80.875th,151699th,"0.9896th
",2892nd
Intel,,"10483rd
","93.281 - 10292nd
",91.499th,68683rd,"0.3394th
",59+81st
Intel,,"9776th
","88.476 - 10090th
",90.198th,77086th,"1.53100th
",7774th
Intel,,"91.168th
","80.870 - 9085th
",88.696th,59780th,"1.0299th
",10361st
Intel,,"98.678th
","90.779 - 10191st
",90.198th,65683rd,"0.6397th
",7774th
Intel,,"
","65.944 - 7966th
",83.183rd,30060th,"0.1391st
",1581st
Intel,,"
","70.656 - 8373rd
",8793rd,42471st,"0.1791st
",1581st
Intel,,"10787th
","10394 - 11296th
",87.494th,111495th,"0.3594th
",3690th
