CPU Name,Brand,User Rating,Value%,Avg Bench %,Memory Points,8-Core Points,Market Share %,Avg Months
"Compare

											Intel Core i5-13600K
 $290
Samples 27k",Intel,,"12098th
","122117 - 12899th
",83.985th,145498th,"0.6397th
",1796th
"Compare

											Intel Core i5-12400F
 $135
Samples 48k",Intel,,"12098th
","9892 - 10594th
",81.678th,97492nd,"1.63100th
",2693rd
"Compare

											Intel Core i3-12100F
 $95
Samples 11k",Intel,,"126100th
","94.190 - 9992nd
",83.885th,78886th,"0.3994th
",2693rd
"Compare

											Intel Core i5-12600K
 $170
Samples 101k",Intel,,"12499th
","109100 - 11797th
",8074th,122396th,"0.8598th
",2892nd
"Compare

											Intel Core i9-13900K
 $520
Samples 49k",Intel,,"10888th
","129123 - 135100th
",85.188th,1739100th,"0.8399th
",1796th
"Compare

											Intel Core i7-13700K
 $365
Samples 41k",Intel,,"11695th
","126120 - 13199th
",84.787th,167699th,"1.0799th
",1796th
"Compare

											Intel Core i5-13600KF
 $265
Samples 24k",Intel,,"12399th
","122117 - 12799th
",84.286th,144398th,"0.6797th
",17+95th
"Compare

											Intel Core i5-12400
 $153
Samples 17k",Intel,,"11694th
","98.291 - 10694th
",80.775th,97392nd,"0.4394th
",2693rd
"Compare

											Intel Core i7-11700K
 $241
Samples 65k",Intel,,"10584th
","10186 - 11095th
",8895th,107595th,"0.6397th
",3690th
"Compare

											Intel Core i5-9600K
 $164
Samples 321k",Intel,,"10888th
","93.282 - 10392nd
",9199th,68884th,"1.1799th
",6578th
"Compare

											Intel Core i7-9700K
 $275
Samples 550k",Intel,,"97.176th
","96.982 - 10593rd
",90.998th,96492nd,"1.78100th
",6578th
"Compare

											Intel Core i3-12100
 $110
Samples 1.5k",Intel,,"12199th
","9492 - 9892nd
",83.484th,79086th,"0.1185th
",2693rd
"Compare

											Intel Core i5-13400F
 $186
Samples 5.6k",Intel,,"11896th
","106102 - 11096th
",83.684th,114196th,"0.7490th
",1496th
"Compare

											Intel Core i5-11400F
 $108
Samples 46k",Intel,,"12299th
","94.288 - 10192nd
",87.293rd,85588th,"0.9198th
",3690th
"Compare

											Intel Core i3-10100F
 $69
Samples 39k",Intel,,"11896th
","80.469 - 8784th
",87.795th,58879th,"0.2594th
",4188th
"Compare

											Intel Core i7-10700K
 $243
Samples 198k",Intel,,"10080th
","96.586 - 10493rd
",91.199th,96992nd,"0.999th
",4685th
"Compare

											Intel Core i3-10100
 $94
Samples 24k",Intel,,"10887th
","79.965 - 8684th
",85.389th,59680th,"0.1987th
",4685th
"Compare

											Intel Core i5-11400
 $137
Samples 24k",Intel,,"11493rd
","94.289 - 10192nd
",86.191st,85288th,"0.394th
",3591st
"Compare

											Intel Core i5-11600K
 $194
Samples 43k",Intel,,"11090th
","99.391 - 10895th
",88.496th,94591st,"0.3693rd
",3591st
"Compare

											Intel Core i7-12700K
 $225
Samples 78k",Intel,,"12198th
","114102 - 12398th
",81.778th,140798th,"1.1699th
",2892nd
"Compare

											Intel Core i5-14600K
 $317
Samples 1.7k",Intel,,"11997th
","124119 - 12999th
",82.381st,150698th,"0.2591st
",599th
"Compare

											Intel Core i5-10400F
 $101
Samples 153k",Intel,,"11292nd
","85.275 - 9288th
",89.698th,71584th,"1.59100th
",4685th
"Compare

											Intel Core i5-10600K
 $155
Samples 70k",Intel,,"10888th
","92.281 - 10091st
",90.598th,82587th,"0.3796th
",4685th
"Compare

											Intel Core i7-4790K

Samples 455k",Intel,,"
","78.967 - 8783rd
",88.195th,56078th,"0.8498th
",11751st
"Compare

											Intel Core i5-10600KF
 $124
Samples 24k",Intel,,"11594th
","91.981 - 10091st
",90.798th,81887th,"0.2190th
",44+87th
"Compare

											Intel Core i3-13100F
 $120
Samples 997",Intel,,"12198th
","9690 - 10193rd
",83.283rd,82888th,"0.0781st
",1496th
"Compare

											Intel Core i7-14700K
 $369
Samples 5.1k",Intel,,"12098th
","130125 - 134100th
",86.893rd,1739100th,"0.8298th
",599th
"Compare

											Intel Core i5-9400F
 $108
Samples 299k",Intel,,"11090th
","84.872 - 9187th
",87.895th,58979th,"1.58100th
",6180th
"Compare

											Intel Core i9-9900K
 $459
Samples 354k",Intel,,"85.360th
","97.989 - 10494th
",93.1100th,98192nd,"1.38100th
",6578th
"Compare

											Intel Core i5-10400
 $133
Samples 71k",Intel,,"10382nd
","84.569 - 9187th
",86.692nd,72285th,"0.6197th
",4685th
"Compare

											Intel Core i3-9100F
 $107
Samples 34k",Intel,,"10483rd
","80.172 - 8684th
",8895th,42371st,"0.3194th
",5980th
"Compare

											Intel Core i5-13500
 $240
Samples 3.7k",Intel,,"11795th
","113108 - 11698th
",84.988th,128397th,"0.1789th
",1496th
"Compare

											Intel Core i7-7700K
 $250
Samples 712k",Intel,,"86.762nd
","84.271 - 9287th
",89.698th,64782nd,"1.2174th
",8669th
"Compare

											Intel Core i9-12900K
 $315
Samples 66k",Intel,,"11393rd
","117107 - 12498th
",80.875th,151699th,"0.9896th
",2892nd
"Compare

											Intel Core i5-9600KF
 $185
Samples 65k",Intel,,"10483rd
","93.281 - 10292nd
",91.499th,68683rd,"0.3394th
",59+81st
