Image Name,Overlay Intensity,Image Overlay Transparency Level,Overlay Color Scheme,Icon Size,Icon Consistency,Icon Relevance to Content,Text Font Style,Text Font Size,Text Hierarchy Consistency,Color Scheme,Contrast Ratio,Color Consistency,Relevance of Content,Content Organization,Amount of Content,Text Contrast,Font Legibility,Readability Level,Ease of use,Satisfaction,helpfulness,Visual appeal,Usability Score,Accessibility Score
bad (1).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (2).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (3).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,very difficult,very dissatisfied,very unhelpful,very poor,12.05,8
bad (4).png,High,Semi-Transparent,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,15.95,36.5
bad (5).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (6).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (7).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (8).png,High,Opaque,Poor,Medium,Consistent,Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,34.1,36.5
bad (9).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (10).png,Low,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,easy,neutral,helpful,poor,11.15,54
bad (11).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,16.55,36.5
bad (12).png,High,Opaque,Poor,None,None,None,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Well-Organized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,21.35,36.5
bad (13).png,Moderate,Semi-Transparent,Good,Medium,Consistent,Relevant,Good,Medium,Consistent,Good,Moderate,Consistent,Highly Relevant,Well-Organized,Moderate,High,Legible,Good,neutral,neutral,neutral,poor,79.6,36.5
bad (14).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (15).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (16).png,High,Opaque,Poor,Small,Inconsistent,Somewhat Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,19.55,36.5
bad (17).png,Moderate,Semi-Transparent,Good,Medium,Consistent,Relevant,Good,Medium,Consistent,Good,Moderate,Consistent,Highly Relevant,Well-Organized,Moderate,Moderate,Legible,Good,neutral,neutral,neutral,poor,78.6,36.5
bad (18).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (19).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (20).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Disorganized,High,Low,Illegible,Poor,difficult,dissatisfied,unhelpful,poor,16.55,24
bad (21).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (22).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (23).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (24).png,High,Opaque,Poor,Small,Consistent,Relevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Highly Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,30.65,36.5
bad (25).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (26).png,None,None,None,None,None,None,None,None,None,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.6,36.5
bad (27).png,High,Opaque,Excellent,Small,Consistent,Relevant,Good,Medium,Consistent,Good,High,Consistent,Highly Relevant,Well-Organized,Moderate,High,Legible,Good,neutral,neutral,neutral,poor,79.75,36.5
bad (28).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,High,Low,Illegible,Poor,neutral,neutral,neutral,poor,12.05,36.5
bad (29).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,neutral,neutral,neutral,poor,11.45,36.5
bad (30).png,High,Opaque,Poor,Small,Inconsistent,Irrelevant,Poor,Small,Inconsistent,Poor,Low,Inconsistent,Not Relevant,Disorganized,Low,Low,Illegible,Poor,very difficult,very dissatisfied,very unhelpful,very poor,11.45,8
